snapshot_version,cutoff_date,association_id,disease_code,corpus_status,pmid,publication_year,publication_form,population_description,sample_size_total,overall_treatment_signal,extraction_confidence,design_codes,objective_codes,context_codes,methods,models,countries
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-071,AD,separate,29953668,2018,original_research,Mild cognitive impairment with chronic depressive symptoms; Mild cognitive impairment without depressive symptoms,,not_applicable,high,cohort,biomarker; disease_mechanism; progression,human,Adjusted linear regression; CSF amyloid and tau biomarker measurement; Longitudinal Neuropsychiatric Inventory grouping,,SWE — Sweden; USA — United States
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-072,AD,separate,30703628,2018,original_research,Human study population,,not_applicable,high,mechanistic,disease_mechanism; progression,human,,,CAN — Canada; USA — United States
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-074,AD,core,31846093,2019,original_research,,,not_applicable,high,epidemiological; mechanistic; methodological,biomarker; disease_mechanism; epidemiology; genetics,human; in_vitro,Cell culture / in-vitro assay; ELISA; Western blot / immunoblot,SH-SY5Y cell model,TUR — Turkey; USA — United States
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-076,AD,core,39026372,2024,original_research,Human study population,,not_applicable,high,cohort; mechanistic; methodological,biomarker; diagnosis; disease_mechanism; genetics; method_development,human,Proteomics / mass spectrometry,,CHN — China; GBR — United Kingdom; NOR — Norway; SWE — Sweden; USA — United States
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-077,AD,core,39160609,2024,original_research,Human study population,,not_applicable,high,epidemiological; mechanistic; methodological,diagnosis; disease_mechanism; epidemiology; neuroimaging,human,Statistical regression analysis,,CHN — China
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-078,AD,core,39637799,2024,original_research,Human study population,,not_applicable,high,mechanistic,disease_mechanism,animal; human; in_vitro,Cell culture / in-vitro assay; Mini-Mental State Examination,,CHN — China; FIN — Finland; SWE — Sweden
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-079,AD,core,40779804,2025,original_research,,,beneficial,high,mechanistic; preclinical_intervention,disease_mechanism; treatment,animal; ex_vivo; in_vitro,Neuroinflammation assays; Structure-based drug design; X-ray crystallography,Mouse cognitive dysfunction models,CZE — Czech Republic; FRA — France; POL — Poland; SVN — Slovenia
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-080,AD,separate,41224995,2025,original_research,,,not_applicable,high,diagnostic_accuracy; mechanistic; methodological,diagnosis; epidemiology,animal; organoid,Proteomics / mass spectrometry; Single-cell analysis,,CHN — China
ndro-mvp-v0.1.2-20260823,2026-08-23,ALS-R-007,ALS,core,22117694,2012,original_research,,,not_applicable,high,mechanistic,disease_mechanism; genetics; model_development; progression,animal; human,,SOD1 transgenic ALS model,USA — United States
ndro-mvp-v0.1.2-20260823,2026-08-23,ALS-R-009,ALS,core,20188146,2010,original_research,,,not_applicable,high,mechanistic,disease_mechanism; genetics; model_development,animal,Motor phenotype and survival analysis; TDP-43 pathology assessment,VAPB transgenic mouse models,GBR — United Kingdom
ndro-mvp-v0.1.2-20260823,2026-08-23,ALS-R-010,ALS,core,21111718,2010,original_research,,,not_applicable,high,mechanistic; methodological,disease_mechanism; model_development; progression,animal; in_vitro,Cell culture / in-vitro assay; Immunohistochemistry; Western blot / immunoblot,,CHN — China
ndro-mvp-v0.1.2-20260823,2026-08-23,ALS-R-011,ALS,separate,22792076,2012,original_research,,,not_applicable,high,mechanistic; preclinical_intervention,disease_mechanism; genetics,animal,Genetic deletion rescue; Lifespan and oxidative stress assays,Caenorhabditis elegans TDP-1 model,CAN — Canada
ndro-mvp-v0.1.2-20260823,2026-08-23,ALS-R-013,ALS,core,21554033,2011,original_research,Human study population,,not_applicable,high,case_control; mechanistic,diagnosis,human,Electromyography / nerve conduction,,CHN — China
ndro-mvp-v0.1.2-20260823,2026-08-23,ALS-R-014,ALS,core,20407306,2010,original_research,patients,22,not_applicable,high,methodological,disease_mechanism; progression,human,,,ESP — Spain
ndro-mvp-v0.1.2-20260823,2026-08-23,ALS-R-015,ALS,core,20206953,2010,original_research,patients; patients,,not_applicable,high,cohort; epidemiological; mechanistic; methodological,epidemiology; health_services,human,,,USA — United States
ndro-mvp-v0.1.2-20260823,2026-08-23,ALS-R-017,ALS,core,20554027,2010,original_research,Human study population,,not_applicable,high,mechanistic,disease_mechanism,human; in_vitro,Cell culture / in-vitro assay; Immunohistochemistry; PCR-based assay,,CAN — Canada
ndro-mvp-v0.1.2-20260823,2026-08-23,ALS-R-019,ALS,core,20225928,2010,original_research,Human study population,,not_applicable,high,mechanistic,disease_mechanism; progression,human,,,USA — United States
ndro-mvp-v0.1.2-20260823,2026-08-23,ALS-R-020,ALS,core,22350501,2012,original_research,Human study population,,not_applicable,high,mechanistic,biomarker,human,Electroencephalography,,USA — United States
ndro-mvp-v0.1.2-20260823,2026-08-23,ALS-R-021,ALS,core,29035885,2017,original_research,Human study population,,not_applicable,high,case_control; mechanistic; methodological,biomarker; diagnosis; disease_mechanism; genetics; progression,human; in_vitro,Western blot / immunoblot,,ITA — Italy
ndro-mvp-v0.1.2-20260823,2026-08-23,ALS-R-022,ALS,core,28566164,2017,original_research,,,not_applicable,high,mechanistic,disease_mechanism; genetics; method_development; progression,animal,Histopathological tissue analysis,Canine degenerative myelopathy model,USA — United States
ndro-mvp-v0.1.2-20260823,2026-08-23,ALS-R-024,ALS,core,27666978,2016,original_research,mice,6,beneficial,high,mechanistic; methodological; preclinical_intervention,model_development; progression; treatment,animal; human,,SOD1 transgenic ALS model,USA — United States
ndro-mvp-v0.1.2-20260823,2026-08-23,ALS-R-026,ALS,separate,26516189,2015,original_research,Human study population,,not_applicable,high,mechanistic,disease_mechanism,human,,,CHN — China
ndro-mvp-v0.1.2-20260823,2026-08-23,ALS-R-030,ALS,core,25620680,2015,original_research,Irish ALS case-control cohort,,not_applicable,medium,case_control,disease_mechanism; genetics,human; in_silico,Case-control homozygous haplotype comparison; Irish versus British population comparison; Runs-of-homozygosity mapping,,GBR — United Kingdom; IRL — Ireland
ndro-mvp-v0.1.2-20260823,2026-08-23,ALS-R-031,ALS,core,25551548,2014,original_research,Human study population,,not_applicable,high,mechanistic,disease_mechanism; genetics; progression,human; in_vitro,Cell culture / in-vitro assay,,CAN — Canada
ndro-mvp-v0.1.2-20260823,2026-08-23,ALS-R-033,ALS,core,27065942,2016,original_research,Human study population,,not_applicable,high,epidemiological; mechanistic; survey,diagnosis; epidemiology; health_services; progression,human,Statistical regression analysis,,USA — United States
ndro-mvp-v0.1.2-20260823,2026-08-23,ALS-R-035,ALS,core,26003296,2015,original_research,control,382,not_applicable,high,case_control; cohort; mechanistic,epidemiology; genetics,human,,,USA — United States
ndro-mvp-v0.1.2-20260823,2026-08-23,ALS-R-039,ALS,core,25252949,2014,original_research,,,not_applicable,medium,mechanistic,model_development; progression,animal,,,
ndro-mvp-v0.1.2-20260823,2026-08-23,ALS-R-040,ALS,core,24946089,2014,original_research,mice,1,not_applicable,high,mechanistic,disease_mechanism; genetics; model_development; progression,animal,,,ITA — Italy; USA — United States
ndro-mvp-v0.1.2-20260823,2026-08-23,ALS-R-041,ALS,core,29523587,2018,original_research,Human study population,,not_applicable,high,mechanistic; methodological,biomarker; disease_mechanism; genetics,ex_vivo; human; in_vitro,Patient-derived mesenchymal stem cell assay,,CZE — Czech Republic
ndro-mvp-v0.1.2-20260823,2026-08-23,ALS-R-045,ALS,core,34207086,2021,original_research,,,not_applicable,high,cross_sectional; mechanistic,biomarker; disease_mechanism,animal,Confocal microscopy; Iba1/TMEM119 immunolabeling; Sholl analysis,hSOD1G93A transgenic ALS mouse,ITA — Italy
ndro-mvp-v0.1.2-20260823,2026-08-23,ALS-R-047,ALS,core,32447552,2020,original_research,Study cohort,214,not_applicable,high,cohort; mechanistic,diagnosis; disease_mechanism; epidemiology; genetics; neuroimaging,human,Cellular electrophysiology; Magnetic resonance imaging; Whole-exome sequencing,,DEU — Germany; USA — United States
ndro-mvp-v0.1.2-20260823,2026-08-23,ALS-R-048,ALS,core,30440578,2018,original_research,Human study population,,not_applicable,medium,feasibility; mechanistic,method_development,human,,,
ndro-mvp-v0.1.2-20260823,2026-08-23,ALS-R-053,ALS,core,33621087,2021,original_research,Human study population,,not_applicable,high,diagnostic_accuracy; mechanistic,diagnosis; disease_mechanism,human; in_silico,Bioinformatic / in-silico analysis; Microscopy; Proteomics / mass spectrometry,,USA — United States
ndro-mvp-v0.1.2-20260823,2026-08-23,ALS-R-054,ALS,core,30574410,2018,original_research,Human study population,,not_applicable,high,diagnostic_accuracy; mechanistic; methodological,biomarker; epidemiology; method_development; progression,human,Statistical regression analysis,,CHN — China
ndro-mvp-v0.1.2-20260823,2026-08-23,ALS-R-057,ALS,core,31042469,2019,original_research,,,not_applicable,high,mechanistic,disease_mechanism; genetics,human,RNA sequencing / transcriptomics,,USA — United States
ndro-mvp-v0.1.2-20260823,2026-08-23,ALS-R-059,ALS,core,30564616,2018,original_research,,,not_applicable,high,clinical_trial; mechanistic; methodological,biomarker; model_development,animal; human,Proteomics / mass spectrometry,,
ndro-mvp-v0.1.2-20260823,2026-08-23,ALS-R-062,ALS,core,38050971,2023,original_research,Human study population,,not_applicable,high,diagnostic_accuracy; mechanistic; methodological,biomarker; diagnosis; disease_mechanism; genetics; neuroimaging,human,ALS Functional Rating Scale-Revised; Magnetic resonance imaging,,USA — United States
ndro-mvp-v0.1.2-20260823,2026-08-23,ALS-R-063,ALS,core,41850140,2026,original_research,,,inconclusive,high,mechanistic; methodological,diagnosis,in_silico; in_vitro,Bioinformatic / in-silico analysis; Cell culture / in-vitro assay,,CHN — China
ndro-mvp-v0.1.2-20260823,2026-08-23,ALS-R-064,ALS,core,37178170,2023,original_research,Human study population,,not_applicable,high,clinical_trial; cohort; mechanistic; methodological,diagnosis; disease_mechanism; genetics; neuroimaging,human,,,DEU — Germany; IRL — Ireland
ndro-mvp-v0.1.2-20260823,2026-08-23,ALS-R-066,ALS,core,35379698,2022,original_research,controls,15,not_applicable,high,clinical_trial; diagnostic_accuracy; mechanistic; methodological,biomarker; diagnosis; genetics; method_development,human,,,BEL — Belgium; CAN — Canada; DEU — Germany; ESP — Spain; GBR — United Kingdom; ITA — Italy; NLD — Netherlands; PRT — Portugal; SWE — Sweden; USA — United States
ndro-mvp-v0.1.2-20260823,2026-08-23,ALS-R-068,ALS,core,42116669,2026,original_research,ALS patients; Healthy controls,,not_applicable,high,cohort; diagnostic_accuracy,biomarker; diagnosis; progression,human,Motor nerve conduction study; Offset motor conduction velocity; Survival follow-up and Cox regression,,JPN — Japan
ndro-mvp-v0.1.2-20260823,2026-08-23,ALS-R-069,ALS,core,39651147,2024,original_research,Human study population,,not_applicable,high,diagnostic_accuracy; mechanistic,diagnosis; disease_mechanism; genetics,human,Patient-derived iPSC model; Proteomics / mass spectrometry,,USA — United States
ndro-mvp-v0.1.2-20260823,2026-08-23,ALS-R-072,ALS,core,39203762,2024,original_research,Human study population,,not_applicable,high,cross_sectional; epidemiological; mechanistic,biomarker; diagnosis; disease_mechanism; epidemiology; method_development; progression,human,ALS Functional Rating Scale-Revised,,ESP — Spain; USA — United States
ndro-mvp-v0.1.2-20260823,2026-08-23,ALS-R-075,ALS,core,39291166,2024,original_research,patients,18,beneficial,high,clinical_trial; mechanistic; methodological,biomarker; diagnosis; disease_mechanism; progression; treatment,human,,,ITA — Italy
ndro-mvp-v0.1.2-20260823,2026-08-23,ALS-R-076,ALS,core,37138766,2023,original_research,Human study population,,harmful,high,mechanistic; methodological; preclinical_intervention,disease_mechanism; genetics; treatment,animal; human,Patient-derived iPSC model,Patient-derived iPSC model,USA — United States
ndro-mvp-v0.1.2-20260823,2026-08-23,ALS-R-077,ALS,core,38359044,2024,original_research,Human study population,,mixed,high,mechanistic; methodological; preclinical_intervention,disease_mechanism; genetics; model_development; progression; treatment,animal; human,,SOD1 transgenic ALS model,USA — United States
ndro-mvp-v0.1.2-20260823,2026-08-23,ALS-R-079,ALS,core,39454934,2024,original_research,mice,1,not_applicable,high,mechanistic,disease_mechanism; genetics; model_development,animal,,SOD1 transgenic ALS model,USA — United States
ndro-mvp-v0.1.2-20260823,2026-08-23,FTD-R-002,FTD,core,21923634,2011,original_research,Human study population,,not_applicable,high,diagnostic_accuracy,diagnosis; disease_mechanism; genetics,human,INECO Frontal Screening and Frontal Assessment Battery,,USA — United States
ndro-mvp-v0.1.2-20260823,2026-08-23,FTD-R-003,FTD,core,20858950,2010,original_research,FTLD patients; Age-matched healthy controls,,not_applicable,high,case_control,biomarker; genetics; neuroimaging,human,FOXP2 polymorphism genotyping; SPECT Statistical Parametric Mapping; Standardized neuropsychological examination,,ITA — Italy
ndro-mvp-v0.1.2-20260823,2026-08-23,FTD-R-004,FTD,core,22322305,2012,original_research,Human study population,,not_applicable,high,diagnostic_accuracy; mechanistic; methodological,diagnosis,human,Electron microscopy; Immunofluorescence; Microscopy,,JPN — Japan
ndro-mvp-v0.1.2-20260823,2026-08-23,FTD-R-005,FTD,core,23189052,2012,original_research,subjects; controls,,not_applicable,high,mechanistic,progression,human,,,SWE — Sweden
ndro-mvp-v0.1.2-20260823,2026-08-23,FTD-R-006,FTD,separate,22133803,2011,original_research,,,not_applicable,high,mechanistic,disease_mechanism,in_vitro,Cell-cycle arrest and cell-death assays; p53 functional compromise,HeLa cell TDP-43 overexpression model,JPN — Japan
ndro-mvp-v0.1.2-20260823,2026-08-23,FTD-R-012,FTD,core,22343156,2012,original_research,Human study population,,not_applicable,high,mechanistic; methodological,disease_mechanism,human,,,CAN — Canada
ndro-mvp-v0.1.2-20260823,2026-08-23,FTD-R-021,FTD,core,28165465,2017,original_research,Human study population,,not_applicable,high,case_control; mechanistic,diagnosis; disease_mechanism,human,,,USA — United States
ndro-mvp-v0.1.2-20260823,2026-08-23,FTD-R-022,FTD,core,27875531,2016,original_research,,,not_applicable,high,mechanistic,disease_mechanism; genetics,animal; in_vitro,,C9orf72 loss-of-function model,USA — United States
ndro-mvp-v0.1.2-20260823,2026-08-23,FTD-R-030,FTD,core,25442110,2014,original_research,,,not_applicable,high,mechanistic,disease_mechanism; genetics,in_vitro,Circular dichroism spectroscopy; Nuclear magnetic resonance spectroscopy,,SVN — Slovenia
ndro-mvp-v0.1.2-20260823,2026-08-23,FTD-R-031,FTD,core,27789409,2016,original_research,patient,17,not_applicable,high,mechanistic,disease_mechanism; genetics,human; in_vitro,Cell culture / in-vitro assay; Patient-derived iPSC model,,DEU — Germany; DNK — Denmark
ndro-mvp-v0.1.2-20260823,2026-08-23,FTD-R-035,FTD,core,26882509,2016,original_research,Human study population,,not_applicable,high,mechanistic; methodological,genetics,human,Montreal Cognitive Assessment; Statistical regression analysis,,CHN — China; GBR — United Kingdom
ndro-mvp-v0.1.2-20260823,2026-08-23,FTD-R-036,FTD,core,29202529,2017,original_research,Human study population,,not_applicable,high,epidemiological; mechanistic; methodological,biomarker; diagnosis; disease_mechanism; epidemiology; genetics; neuroimaging,human,Neuropsychological assessment; Positron emission tomography,,CHN — China
ndro-mvp-v0.1.2-20260823,2026-08-23,FTD-R-037,FTD,core,27418313,2016,original_research,,,not_applicable,high,mechanistic,disease_mechanism,in_vitro,ER-mitochondria association measurement; Mitochondrial ATP measurement; Mitochondrial calcium uptake assay,FUS-expressing cell model,GBR — United Kingdom
ndro-mvp-v0.1.2-20260823,2026-08-23,FTD-R-044,FTD,core,34720994,2021,original_research,Study cohort,84,not_applicable,high,mechanistic; methodological,diagnosis; disease_mechanism; genetics,human,Whole-exome sequencing,,CHN — China
ndro-mvp-v0.1.2-20260823,2026-08-23,FTD-R-045,FTD,core,31173437,2019,original_research,Human study population,,not_applicable,high,cohort; mechanistic; methodological,biomarker; genetics; progression,human,Magnetic resonance spectroscopy,,CHN — China
ndro-mvp-v0.1.2-20260823,2026-08-23,FTD-R-046,FTD,core,31543469,2019,original_research,Human study population,,not_applicable,high,mechanistic,disease_mechanism; genetics; progression,human; organoid,Patient-derived iPSC model,Patient-derived iPSC model,JPN — Japan; USA — United States
ndro-mvp-v0.1.2-20260823,2026-08-23,FTD-R-051,FTD,core,33799358,2021,original_research,ALS patients across phenotypes; Neurologic controls,,not_applicable,high,case_control; cross_sectional,biomarker; diagnosis; neuroimaging,human; in_silico,Brain morphometric fractal-dimension analysis; Clinical/radiographic phenotype grouping,,IND — India; USA — United States
ndro-mvp-v0.1.2-20260823,2026-08-23,FTD-R-052,FTD,core,32175624,2020,original_research,Human study population,,not_applicable,high,mechanistic,disease_mechanism; model_development,animal; human; in_vitro,,,DEU — Germany; NLD — Netherlands
ndro-mvp-v0.1.2-20260823,2026-08-23,FTD-R-054,FTD,core,30537913,2018,original_research,Human study population,,not_applicable,high,mechanistic; methodological,disease_mechanism; genetics,human,,,USA — United States
ndro-mvp-v0.1.2-20260823,2026-08-23,FTD-R-056,FTD,core,34161229,2021,original_research,,,not_applicable,high,mechanistic,disease_mechanism; genetics,human,,,CHE — Switzerland; DEU — Germany; FRA — France; NLD — Netherlands
ndro-mvp-v0.1.2-20260823,2026-08-23,FTD-R-057,FTD,core,34152475,2021,original_research,Human study population,,not_applicable,high,mechanistic,disease_mechanism; genetics,human,,,CHN — China; USA — United States
ndro-mvp-v0.1.2-20260823,2026-08-23,FTD-R-060,FTD,core,32830216,2020,original_research,Human study population,,not_applicable,high,cohort; diagnostic_accuracy; mechanistic; methodological,diagnosis; health_services,human,Immunohistochemistry,,USA — United States
ndro-mvp-v0.1.2-20260823,2026-08-23,FTD-R-065,FTD,core,39062033,2024,original_research,patients; patients; patients,,not_applicable,high,diagnostic_accuracy; feasibility; mechanistic; methodological,biomarker; diagnosis; disease_mechanism; method_development; neuroimaging,human,Mini-Mental State Examination; Positron emission tomography,,CHE — Switzerland; DEU — Germany; JPN — Japan
ndro-mvp-v0.1.2-20260823,2026-08-23,FTD-R-066,FTD,core,38501336,2024,original_research,Human study population,,not_applicable,high,mechanistic; methodological,disease_mechanism; genetics; method_development,human,Electroencephalography,,ARG — Argentina; CHL — Chile; COL — Colombia; GBR — United Kingdom; IRL — Ireland; TUR — Turkey; USA — United States
ndro-mvp-v0.1.2-20260823,2026-08-23,FTD-R-068,FTD,separate,38477959,2024,original_research,Human study population,,not_applicable,high,epidemiological; mechanistic; methodological,diagnosis; disease_mechanism; epidemiology; health_services,human,,,ITA — Italy
ndro-mvp-v0.1.2-20260823,2026-08-23,FTD-R-069,FTD,core,38106054,2023,original_research,patients,221,not_applicable,high,mechanistic,disease_mechanism; genetics; neuroimaging,human,Magnetic resonance imaging,,USA — United States
ndro-mvp-v0.1.2-20260823,2026-08-23,FTD-R-072,FTD,core,35943443,2022,original_research,individuals,219,not_applicable,high,clinical_trial; mechanistic; survey,diagnosis,human,Questionnaire / survey,,USA — United States
ndro-mvp-v0.1.2-20260823,2026-08-23,FTD-R-073,FTD,core,41739556,2026,original_research,,,beneficial,high,mechanistic; preclinical_intervention,disease_mechanism; treatment,animal; in_silico,Electrophysiological analysis; Immunohistochemistry and ultrastructural analysis; Neuron-specific transcriptome analysis,Neuron-specific TDP-43 knockout mouse,DEU — Germany; JPN — Japan
ndro-mvp-v0.1.2-20260823,2026-08-23,FTD-R-074,FTD,core,38132101,2023,original_research,Human study population,,not_applicable,high,mechanistic,disease_mechanism; genetics,animal; human; in_vitro,Cell culture / in-vitro assay,Drosophila model,USA — United States
ndro-mvp-v0.1.2-20260823,2026-08-23,FTD-R-075,FTD,core,39233675,2024,original_research,Human study population,,not_applicable,high,case_control; diagnostic_accuracy; mechanistic; methodological,diagnosis; neuroimaging,human,Magnetic resonance imaging; Statistical regression analysis,,USA — United States
ndro-mvp-v0.1.2-20260823,2026-08-23,HD-R-001,HD,core,21068430,2010,original_research,Healthy controls; Premanifest HD gene carriers; Early symptomatic HD gene carriers,,not_applicable,high,cohort; cross_sectional,biomarker; method_development; neuroimaging; progression,human,Metronome tapping task; Speeded force-transducer tapping; Structural MRI; Unified Huntington's Disease Rating Scale Total Motor Score,,DEU — Germany
ndro-mvp-v0.1.2-20260823,2026-08-23,HD-R-002,HD,core,22773688,2012,original_research,Human study population,,not_applicable,high,mechanistic,diagnosis; disease_mechanism; genetics,human,,,ITA — Italy
ndro-mvp-v0.1.2-20260823,2026-08-23,HD-R-003,HD,core,24274906,2013,original_research,Human study population,,not_applicable,high,clinical_trial; mechanistic; methodological,biomarker; diagnosis; disease_mechanism; genetics; method_development; progression,human; in_vitro,Cell culture / in-vitro assay; ELISA,,ITA — Italy
ndro-mvp-v0.1.2-20260823,2026-08-23,HD-R-012,HD,core,21984825,2011,original_research,,,not_applicable,high,mechanistic,disease_mechanism,in_vitro,Cell culture / in-vitro assay; Microscopy,,GBR — United Kingdom
ndro-mvp-v0.1.2-20260823,2026-08-23,HD-R-013,HD,core,23872847,2013,original_research,,,beneficial,high,mechanistic,disease_mechanism; genetics,animal; ex_vivo; human; in_vitro,,Drosophila model; Transgenic Huntington disease model,USA — United States
ndro-mvp-v0.1.2-20260823,2026-08-23,HD-R-014,HD,core,20436779,2010,original_research,Human study population,,not_applicable,medium,cohort; diagnostic_accuracy; mechanistic,diagnosis; progression,human,,,
ndro-mvp-v0.1.2-20260823,2026-08-23,HD-R-017,HD,separate,22277499,2011,original_research,,,not_applicable,high,mechanistic,disease_mechanism; genetics,animal; in_vitro,Cell culture / in-vitro assay,,
ndro-mvp-v0.1.2-20260823,2026-08-23,HD-R-021,HD,core,28603746,2017,original_research,Human study population,,not_applicable,high,mechanistic,disease_mechanism; genetics; health_services,human,Patient-derived iPSC model,,CHE — Switzerland; FRA — France; NLD — Netherlands; USA — United States
ndro-mvp-v0.1.2-20260823,2026-08-23,HD-R-022,HD,core,27372053,2016,original_research,HD specialty clinics surveyed; HD specialty clinics responding,,not_applicable,high,cross_sectional; survey,epidemiology; health_services,human,69-item international service-delivery survey,,BRA — Brazil; CAN — Canada; GBR — United Kingdom; NOR — Norway; NZL — New Zealand; USA — United States
ndro-mvp-v0.1.2-20260823,2026-08-23,HD-R-024,HD,core,25575960,2014,original_research,,,not_applicable,high,mechanistic; methodological,disease_mechanism; genetics; model_development,animal; human,,Transgenic Huntington disease model,USA — United States
ndro-mvp-v0.1.2-20260823,2026-08-23,HD-R-025,HD,core,25319005,2014,original_research,Human study population,,not_applicable,high,mechanistic,disease_mechanism; progression,animal; human,,,USA — United States
