snapshot_version,cutoff_date,association_id,disease_code,pmid,corpus_status,intervention_id,intervention_name,intervention_type,therapeutic_intent,dose,route,duration,intervention_comparator,intervention_confidence,outcome_id,outcome_name,outcome_domain,effect_direction,reported_significance,outcome_comparator,result_summary,outcome_confidence
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-015,AD,34118592,core,,,,,,,,,,AD-R-015-O01,cognition result 1,cognition,not_reported,not_reported,,Cross-cohort generalizability of deep and conventional machine learning for MRI-based diagnosis and prediction of Alzheimer's disease.,medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-015,AD,34118592,core,,,,,,,,,,AD-R-015-O02,cognition result 2,cognition,harmful,not_reported,,This work validates the generalizability of MRI-based classification of Alzheimer's disease (AD) patients and controls (CN) to an external data set and to the task of prediction of conversion to AD in individuals with mild cognitive impairment (MCI).,medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-015,AD,34118592,core,,,,,,,,,,AD-R-015-O03,molecular_cellular result 3,molecular_cellular,not_reported,not_reported,,"Trained classifiers were subsequently applied to predict conversion to AD in ADNI MCI patients (231 converters, 628 non-converters) and in the independent Health-RI Parelsnoer Neurodegenerative Diseases Biobank data set.",medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-015,AD,34118592,core,,,,,,,,,,AD-R-015-O04,diagnostic_performance result 4,diagnostic_performance,not_reported,not_reported,,AD-CN classification based on modulated GM maps resulted in a similar area-under-the-curve (AUC) for SVM (0.940; 95%CI: 0.924-0.955) and CNN (0.933; 95%CI: 0.918-0.948).,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-017,AD,35344200,core,,,,,,,,,,AD-R-017-O01,imaging result 1,imaging,not_reported,not_reported,,"Thus, a reliable prediction of the conversion from MCI to AD based on three-dimensional (3D) texture features of MRI images could help doctors in developing effective treatment protocols.",medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-017,AD,35344200,core,,,,,,,,,,AD-R-017-O02,diagnostic_performance result 2,diagnostic_performance,positive_association,not_reported,,"RESULTS: The accuracy and the selected features are the focus of clinical diagnosis reports, indicating that the feature selection algorithm is effective.",medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-018,AD,38306048,core,,,,,,,,,,AD-R-018-O01,molecular_cellular result 1,molecular_cellular,positive_association,not_reported,,Codon Pattern and Context Analysis in Genes Triggering Alzheimer's Disease and Latent Tau Protein Aggregation Post-Anesthesia Exhibited Unique Molecular Patterns Associated with Functional Aspects.,medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-018,AD,38306048,core,,,,,,,,,,AD-R-018-O02,other result 2,other,not_reported,not_reported,,"RESULTS: The sequences' composition was G/C rich, influencing dinucleotide preference, codon preference, codon usage, and codon context.",medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-018,AD,38306048,core,,,,,,,,,,AD-R-018-O03,other result 3,other,positive_association,not_reported,,"Contrarily, it correlated with the sequence lengths.",medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-018,AD,38306048,core,,,,,,,,,,AD-R-018-O04,molecular_cellular result 4,molecular_cellular,beneficial,not_reported,,"The sequences were leucine-rich, and multiple leucine repeats were present, exhibiting the functional role of neuroprotection from neuroinflammation post-anesthesia.",medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-019,AD,40084666,core,,,,,,,,,,AD-R-019-O01,disease_progression result 1,disease_progression,positive_association,not_reported,,"Hierarchical regression models investigated linear and nonlinear relationships between age, genetic risk, and Aβ42:40.ResultsWe observed a curvilinear relationship between age and Aβ42:40 in individuals with higher genetic risk, characterized by an increase in the Aβ42:40 during midlife followed by a decrease in older age.ConclusionsThese findings highlight distinct patterns in Aβ metabolism among genetically predisposed individuals, suggesting that early metabolic shifts may play a role in the progression of AD.",medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-041,AD,20888846,core,,,,,,,,,,AD-R-041-O01,Verbal communication in Alzheimer disease,communication,decrease,significant,,AD participants showed prominent verbal comprehension and word-finding impairment.,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-041,AD,20888846,core,,,,,,,,,,AD-R-041-O02,Non-verbal communication in Alzheimer disease,communication,no_effect,not_reported,,Non-verbal communication was mostly preserved in AD.,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-041,AD,20888846,core,,,,,,,,,,AD-R-041-O03,Communication profile across dementia groups,communication,mixed,not_reported,,"The profiles differed among AD, FTD and DLB.",high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-043,AD,22551949,core,AD-R-043-I01,diazoxide,drug,t,,,,,high,AD-R-043-O01,molecular_cellular result 1,molecular_cellular,beneficial,not_reported,,Protective effects of diazoxide against Aβ₂₅₋₃₅-induced PC12 cell apoptosis due to prevention of endoplasmic reticulum stress.,medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-043,AD,22551949,core,AD-R-043-I01,diazoxide,drug,t,,,,,high,AD-R-043-O02,molecular_cellular result 2,molecular_cellular,beneficial,not_reported,,"Previous studies have suggested a neuroprotective role for mitochondrial ATP-sensitive potassium (KATP) channel openers against Aβ damages, but the molecular details were unclear.",medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-043,AD,22551949,core,AD-R-043-I01,diazoxide,drug,t,,,,,high,AD-R-043-O03,molecular_cellular result 3,molecular_cellular,beneficial,not_reported,,It remains to be determined whether KATP channel openers mediate their potential neuroprotective role by inhibiting ER stress pathways.,medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-043,AD,22551949,core,AD-R-043-I01,diazoxide,drug,t,,,,,high,AD-R-043-O04,biomarker result 4,biomarker,increase,significant,,"Here we showed that in response to the treatment with Aβ₂₅₋₃₅ (10 μM) for 24 h the mRNA and protein expression levels of caspase-12 were significantly upregulated; however, this change could be partly reversed by pretreatment with diazoxide (1 mM) for 1 h.",high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-043,AD,22551949,core,AD-R-043-I02,Aβ₂₅₋₃₅ (10 μM),experimental_exposure,f,,,,,medium,,,,,,,,
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-052,AD,30832390,core,,,,,,,,,,AD-R-052-O01,service_delivery result 1,service_delivery,positive_association,not_reported,,"More recently, caregiving has been associated with high rates of suicidal and homicidal ideation, but the research on these phenomena is limited.",medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-052,AD,30832390,core,,,,,,,,,,AD-R-052-O02,survival result 2,survival,not_reported,not_reported,,RESULTS: Five themes related to thoughts of suicide and homicide by caregivers and people with ADRD were derived from the analysis: (1) end-of-life care; (2) thoughts of death and euthanasia by the person with ADRD; (3) surrogate decision making; (4) thoughts of suicide by the caregiver; and (5) thoughts of homicide and euthanasia by the caregiver.,medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-052,AD,30832390,core,,,,,,,,,,AD-R-052-O03,behavior result 3,behavior,not_reported,not_reported,,"CONCLUSIONS: The results capture the reality of suicidal and homicidal thoughts among family caregivers of people with ADRD, supporting calls for more research on these complex topics and highlighting the need for changes to clinical practice to prevent thoughts from becoming behaviors or actions.",medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-053,AD,33163613,core,,,,,,,,,,AD-R-053-O01,Association between amyloid and tau PET burden,imaging,positive_association,significant,,In vivo amyloid burden was positively related to tau pathology.,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-053,AD,33163613,core,,,,,,,,,,AD-R-053-O02,Tau retention in amyloid-positive participants,imaging,increase,not_reported,,Tau tracer retention was higher across Braak regions in PiB-positive participants.,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-057,AD,37645746,separate,,,,,,,,,,AD-R-057-O01,biomarker result 1,biomarker,positive_association,significant,,"After meta-analysis of three genome-wide association studies, comprising 44,288 participants, cis-Mendelian randomization showed that genes responsible for higher plasma SAP values are significantly associated with AD, Lewy body dementia and plasma tau concentration.",high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-061,AD,20624932,core,,,,,,,,,,AD-R-061-O01,molecular_cellular result 1,molecular_cellular,decrease,not_reported,,GCPII also degrades soluble oligomers and fibrils and can reduce the endogenous plaque size in brain sections obtained from amyloid precursor protein (APP) Swedish/presinilin (PS)-1ΔE9 transgenic mice.,medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-061,AD,20624932,core,,,,,,,,,,AD-R-061-O02,biomarker result 2,biomarker,decrease,not_reported,,"Overexpression of GCPII in either HEK293-APP Swedish cells or primary neurons and glial cells reduced the levels of secreted or exogenously supplemented Aβs and reduced Aβ-induced neurotoxicity, suggesting the biological significance of GCPII-mediated Aβ cleavage.",medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-061,AD,20624932,core,,,,,,,,,,AD-R-061-O03,other result 3,other,increase,not_reported,,"Moreover, treatment of 8-mo-old transgenic mice for 1 mo with 2-(phosphonomethyl)-pentanedioic acid (10 mg/kg, intraperitoneally), a specific GCPII inhibitor, increased cerebral Aβ content.",medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-061,AD,20624932,core,,,,,,,,,,AD-R-061-O04,histopathology result 4,histopathology,positive_association,not_reported,,These results suggest an important physiological role for GCPII in Aβ clearance in brain and provide the evidence that dysregulation of GCPII is involved in Alzheimer's disease pathology.,medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-063,AD,22112898,core,,,,,,,,,,AD-R-063-O01,biomarker result 1,biomarker,increase,significant,,"RESULTS: Our studies in the AD transgenic mice show significantly higher levels of cyclin E, cyclin D1, E2F1, and P-cdc2 in the cells in the vicinity of the plaques where maximum levels of Threonine 668 (Thr668)-phosphorylated APP accumulation was observed.",high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-063,AD,22112898,core,,,,,,,,,,AD-R-063-O02,molecular_cellular result 2,molecular_cellular,increase,not_reported,,"Also, Thr668 phosphorylation in mitosis correlates with increased processing of APP to generate Aβ and the C-terminal fragment of APP, which is prevented by pharmacological inhibitors of the G1/S transition.",medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-063,AD,22112898,core,,,,,,,,,,AD-R-063-O03,molecular_cellular result 3,molecular_cellular,not_reported,not_reported,,CONCLUSIONS: The data presented here suggests that cell cycle-dependent phosphorylation of APP may affect its normal cellular function.,medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-065,AD,23474058,separate,,,,,,,,,,AD-R-065-O01,other result 1,other,not_reported,not_reported,,"RESULTS: 172 cases were identified, of whom 143 (83%) were men.",high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-065,AD,23474058,separate,,,,,,,,,,AD-R-065-O02,molecular_cellular result 2,molecular_cellular,positive_association,not_reported,,"Among the neurodegenerative disorders associated with RBD (n=170), 160 (94%) were synucleinopathies.",high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-065,AD,23474058,separate,,,,,,,,,,AD-R-065-O03,other result 3,other,not_reported,not_reported,,"CONCLUSIONS: In this large series of PSG-confirmed and probable RBD cases that underwent autopsy, the strong association of RBD with the synucleinopathies was further substantiated and a wider spectrum of disorders which can underlie RBD now are more apparent.",medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-068,AD,27760426,core,AD-R-068-I01,Cl-NQTrp,drug,t,,,,,high,AD-R-068-O01,molecular_cellular result 1,molecular_cellular,beneficial,not_reported,,Cl-NQTrp Alleviates Tauopathy Symptoms in a Model Organism through the Inhibition of Tau Aggregation-Engendered Toxicity.,medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-068,AD,27760426,core,AD-R-068-I01,Cl-NQTrp,drug,t,,,,,high,AD-R-068-O02,other result 2,other,not_reported,not_reported,,"Alzheimer's disease (AD) is the most abundant tauopathy and is characterized by Aβ-derived plaques and tau-derived tangles, resulting from the unfolding of the corresponding monomeric subunits into ordered β-sheet oligomers and fibrils.",medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-068,AD,27760426,core,AD-R-068-I01,Cl-NQTrp,drug,t,,,,,high,AD-R-068-O03,molecular_cellular result 3,molecular_cellular,beneficial,not_reported,,"We demonstrate that Cl-NQTrp inhibits the in vitro assembly of PHF6, the aggregation-prone fragment of tau, and alleviates tauopathy symptoms in a transgenic Drosophila model through the inhibition of tau aggregation-engendered toxicity.",medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-068,AD,27760426,core,AD-R-068-I01,Cl-NQTrp,drug,t,,,,,high,AD-R-068-O04,molecular_cellular result 4,molecular_cellular,not_reported,not_reported,,These results suggest that Cl-NQTrp could be a unique potential therapeutic for AD since it targets aggregation of both Aβ and tau.,medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-069,AD,28355558,separate,,,,,,,,,,AD-R-069-O01,other result 1,other,beneficial,not_reported,,Neuroprotective Functions for the Histone Deacetylase SIRT6.,medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-069,AD,28355558,separate,,,,,,,,,,AD-R-069-O02,survival result 2,survival,increase,not_reported,,"Moreover, the brains of these mice show increased signs of DNA damage, cell death, and hyperphosphorylated Tau-a critical mark in several neurodegenerative diseases.",medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-069,AD,28355558,separate,,,,,,,,,,AD-R-069-O03,molecular_cellular result 3,molecular_cellular,increase,not_reported,,"Mechanistically, SIRT6 regulates Tau protein stability and phosphorylation through increased activation of the kinase GSK3α/β.",medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-069,AD,28355558,separate,,,,,,,,,,AD-R-069-O04,biomarker result 4,biomarker,decrease,not_reported,,"Finally, SIRT6 mRNA and protein levels are reduced in patients with Alzheimer's disease.",medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-071,AD,29953668,separate,,,,,,,,,,AD-R-071-O01,CSF Aβ1-42 in chronic depressive symptoms,biomarker,decrease,significant,,The chronic depressive symptom group had lower CSF Aβ1-42.,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-071,AD,29953668,separate,,,,,,,,,,AD-R-071-O02,CSF tau in chronic depressive symptoms,biomarker,no_association,not_significant,,No group differences were found for total or phosphorylated tau.,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-071,AD,29953668,separate,,,,,,,,,,AD-R-071-O03,CSF biomarkers and cognition,cognition,mixed,significant,,Amyloid and tau measures were associated with different cognitive domains.,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-072,AD,30703628,separate,,,,,,,,,,AD-R-072-O01,imaging result 1,imaging,increase,not_reported,,Patients with MCI with high WMH volumes are known to have an increased chance of conversion to Alzheimer's disease compared with those without WMHs.,medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-072,AD,30703628,separate,,,,,,,,,,AD-R-072-O02,imaging result 2,imaging,increase,significant,,Our results show a significantly greater increase of all regional WMH volumes in the MCI population that converts to dementia (p < 0.001).,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-072,AD,30703628,separate,,,,,,,,,,AD-R-072-O03,imaging result 3,imaging,decrease,significant,,T1w hypointensity for the juxtacortical WMHs was significantly lower in the converter group (p < 0.0001) and was not affected by age.,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-072,AD,30703628,separate,,,,,,,,,,AD-R-072-O04,other result 4,other,decrease,significant,,"Conversely, T1w hypointensity in other regions showed a significant decrease with age (p < 0.0001).",high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-074,AD,31846093,core,,,,,,,,,,AD-R-074-O01,other result 1,other,beneficial,not_reported,,"Recently, statins have been linked to the reduced prevalence of AD in statin-prescribed populations yet molecular basis for the neuroprotective action of statins is still under debate.",medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-074,AD,31846093,core,,,,,,,,,,AD-R-074-O02,molecular_cellular result 2,molecular_cellular,mixed,not_reported,,"KEY FINDINGS/RESULTS: We showed that SESN2 and LC3II expressions were elevated, whereas SIRT1 and TPP1 expressions were decreased in the Aβ1-42 -exposed human neuroblastoma cells (SH-SY5Y).",medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-074,AD,31846093,core,,,,,,,,,,AD-R-074-O03,disease_progression result 3,disease_progression,beneficial,not_reported,,"Co-administration of atorvastatin with Aβ1-42 compensates SESN2 increase and recovers SIRT1 decline by reducing oxidative stress, decreasing SESN2 expression and increasing SIRT1 expression by its neuroprotective action.",medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-074,AD,31846093,core,,,,,,,,,,AD-R-074-O04,biomarker result 4,biomarker,mixed,not_reported,,"DISCUSSION AND CONCLUSION: Together, these results indicate that atorvastatin induced SESN2, SIRT1 and LC3II levels play a protective role against Aβ1-42 neurotoxicity.",medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-076,AD,39026372,core,,,,,,,,,,AD-R-076-O01,biomarker result 1,biomarker,increase,not_reported,,"Our results demonstrate that non-phosphorylated tau profiles differ across tauopathies, generally showing high abundance of microtubule-binding region (MTBR)-containing peptides in insoluble protein fractions compared with controls; the AD group showed 12-72 times higher levels of MTBR-containing aggregates.",medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-076,AD,39026372,core,,,,,,,,,,AD-R-076-O02,other result 2,other,increase,significant,,All phosphorylated peptides were significantly increased in AD insoluble fraction.,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-076,AD,39026372,core,,,,,,,,,,AD-R-076-O03,other result 3,other,increase,significant,,"However, doubly and triply phosphorylated peptides were significantly increased in AD even in the soluble fraction.",high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-076,AD,39026372,core,,,,,,,,,,AD-R-076-O04,other result 4,other,not_reported,not_reported,,"Results were replicated using a validation cohort comprising AD (n = 10), CBD (n = 10), and controls (n = 10).",medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-077,AD,39160609,core,,,,,,,,,,AD-R-077-O01,cognition result 1,cognition,not_reported,significant,,"Notably, not all the people with amyloid-beta (Aβ) pathology will have significant cognitive declines and eventually develop AD.",high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-077,AD,39160609,core,,,,,,,,,,AD-R-077-O02,cognition result 2,cognition,increase,not_reported,,"Additionally, we used the Cochran-Armitage trend test to examine whether the incidence of cognitive decline increased with the number concurrent of risk factors.",medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-077,AD,39160609,core,,,,,,,,,,AD-R-077-O03,behavior result 3,behavior,not_reported,not_reported,,"RESULTS: Six factors (low diastolic pressure, low body mass index, retired status, a history of drug abuse, Parkinsonism, and depression) were the identified risk factors and four factors (a history of urinary disease, musculoskeletal diseases, no major surgical history, and no prior dermatologic-connective tissue diseases) were found to be suggestive risk factors.",medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-077,AD,39160609,core,,,,,,,,,,AD-R-077-O04,cognition result 4,cognition,increase,not_reported,,The incidence of cognitive decline in the Aβ-positive participants gradually increased as the number of concurrent risk factors increased (p for trend = 0.0005).,medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-078,AD,39637799,core,AD-R-078-I01,PM0,experimental_exposure,f,,,,,medium,,,,,,,,
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-079,AD,40779804,core,AD-R-079-I01,Dual BChE/p38α MAPK inhibitors,drug,t,,,,vehicle/control not specified,high,AD-R-079-O01,Proinflammatory marker production,molecular_cellular,beneficial,not_reported,,Dual inhibitors reduced proinflammatory markers.,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-079,AD,40779804,core,AD-R-079-I01,Dual BChE/p38α MAPK inhibitors,drug,t,,,,vehicle/control not specified,high,AD-R-079-O02,Cognition in induced mouse models,cognition,beneficial,significant,,The compounds improved cognition in mouse models.,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-080,AD,41224995,separate,,,,,,,,,,AD-R-080-O01,other result 1,other,increase,not_reported,,The number of spatial omics technologies being developed is increasing1.,medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-080,AD,41224995,separate,,,,,,,,,,AD-R-080-O02,diagnostic_performance result 2,diagnostic_performance,increase,not_reported,,"Here we present in situ imaging proteomics via expansion (iPEX), which integrates isotropic tissue magnification2 with matrix-assisted laser desorption/ionization (MALDI) mass spectrometry imaging. iPEX provides scalable spatial resolution down to the micrometre scale and substantially increases the sensitivity of protein identification by 10-100-fold.",medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-080,AD,41224995,separate,,,,,,,,,,AD-R-080-O03,other result 3,other,not_reported,not_reported,,"Together, these results demonstrate that iPEX facilitates untargeted spatial proteomics at micrometre resolution for diverse applications.",medium
ndro-mvp-v0.1.2-20260823,2026-08-23,ALS-R-007,ALS,22117694,core,,,,,,,,,,ALS-R-007-O01,molecular_cellular result 1,molecular_cellular,harmful,not_reported,,"D-serine is an endogenous neurotransmitter that binds to the NMDA receptor, thereby increasing the affinity for glutamate, and the potential for excitotoxicity.",medium
ndro-mvp-v0.1.2-20260823,2026-08-23,ALS-R-007,ALS,22117694,core,,,,,,,,,,ALS-R-007-O02,other result 2,other,increase,not_reported,,"D-serine is increased two-fold in spinal cords of G93A Cu,Zn-superoxide dismutase (SOD1) mice--the standard model of amyotrophic lateral sclerosis (ALS).",medium
